die_opening,distance,thickness,mean_springback
10,5.0,1.0,0.4091666666666663
10,5.0,0.5,0.4640933333333332
10,5.0,2.0,0.47022999999999965
10,5.0,1.0,0.4091666666666663
10,15.0,0.5,0.19176666666666675
10,15.0,0.5,0.19176666666666675
10,10.0,1.0,0.6017266666666661
10,5.0,2.0,0.47022999999999965
10,5.0,0.5,0.4640933333333332
10,5.0,1.0,0.4091666666666663
10,10.0,1.0,0.6017266666666661
10,5.0,1.0,0.4091666666666663
10,15.0,0.5,0.19176666666666675
10,15.0,0.5,0.19176666666666675
10,5.0,0.5,0.4640933333333332
10,10.0,0.5,0.9620200000000008
10,5.0,0.5,0.4640933333333332
10,5.0,0.5,0.4640933333333332
10,10.0,1.0,0.6017266666666661
10,10.0,1.0,0.6017266666666661
10,5.0,1.0,0.4091666666666663
10,5.0,1.0,0.4091666666666663
10,10.0,0.5,0.9620200000000008
10,10.0,0.5,0.9620200000000008
10,15.0,0.5,0.19176666666666675
10,15.0,0.5,0.19176666666666675
10,5.0,0.5,0.4640933333333332
10,10.0,0.5,0.9620200000000008
10,5.0,0.5,0.4640933333333332
10,15.0,0.5,0.19176666666666675
10,15.0,0.5,0.19176666666666675
10,15.0,0.5,0.19176666666666675
10,10.0,0.5,0.9620200000000008
10,5.0,0.5,0.4640933333333332
10,10.0,0.5,0.9620200000000008
10,5.0,0.5,0.4640933333333332
10,5.0,2.0,0.47022999999999965
10,10.0,0.5,0.9620200000000008
10,10.0,1.0,0.6017266666666661
10,10.0,1.0,0.6017266666666661
10,10.0,0.5,0.9620200000000008
10,10.0,0.5,0.9620200000000008
20,10.0,0.5,1.1315
20,12.5,1.0,0.843
20,20.0,3.0,1.3630000000000002
20,5.0,1.0,0.44133333333333336
20,10.0,1.0,0.674
20,2.5,1.0,0.7166666666666667
20,7.5,0.5,0.9526666666666667
20,10.0,3.0,0.5456666666666666
20,12.5,0.5,1.3373333333333335
20,2.5,3.0,0.38566666666666666
20,20.0,1.0,1.9693333333333334
20,2.5,1.0,0.7166666666666667
20,5.0,1.0,0.44133333333333336
20,7.5,1.0,0.5486666666666666
20,20.0,1.0,1.9693333333333334
20,2.5,1.0,0.7166666666666667
20,20.0,3.0,1.3630000000000002
20,7.5,1.0,0.5486666666666666
20,7.5,1.0,0.5486666666666666
20,5.0,1.0,0.44133333333333336
20,15.0,1.0,1.0803333333333331
20,15.0,1.0,1.0803333333333331
20,15.0,3.0,0.8653333333333334
20,2.5,3.0,0.38566666666666666
20,17.5,0.5,2.4316666666666666
20,5.0,0.5,0.8226666666666667
20,17.5,1.0,1.454
20,10.0,0.5,1.1315
20,15.0,3.0,0.8653333333333334
20,12.5,1.0,0.843
20,20.0,3.0,1.3630000000000002
20,20.0,1.0,1.9693333333333334
20,20.0,3.0,1.3630000000000002
20,2.5,0.5,1.287
20,10.0,0.5,1.1315
20,10.0,0.5,1.1315
20,12.5,0.5,1.3373333333333335
20,5.0,0.5,0.8226666666666667
20,10.0,3.0,0.5456666666666666
20,20.0,1.0,1.9693333333333334
20,7.5,1.0,0.5486666666666666
20,15.0,0.5,1.8010000000000002
20,20.0,3.0,1.3630000000000002
20,7.5,0.5,0.9526666666666667
20,7.5,0.5,0.9526666666666667
20,5.0,0.5,0.8226666666666667
20,15.0,0.5,1.8010000000000002
20,20.0,3.0,1.3630000000000002
20,5.0,1.0,0.44133333333333336
20,10.0,1.0,0.674
20,17.5,1.0,1.454
20,7.5,0.5,0.9526666666666667
20,5.0,0.5,0.8226666666666667
20,10.0,1.0,0.674
20,12.5,1.0,0.843
20,17.5,0.5,2.4316666666666666
20,2.5,3.0,0.38566666666666666
20,17.5,0.5,2.4316666666666666
20,17.5,0.5,2.4316666666666666
20,7.5,1.0,0.5486666666666666
20,17.5,0.5,2.4316666666666666
20,15.0,1.0,1.0803333333333331
20,2.5,1.0,0.7166666666666667
20,12.5,1.0,0.843
20,7.5,0.5,0.9526666666666667
20,10.0,1.0,0.674
20,10.0,1.0,0.674
20,20.0,1.0,1.9693333333333334
20,2.5,1.0,0.7166666666666667
20,5.0,3.0,0.44799999999999995
20,12.5,0.5,1.3373333333333335
20,17.5,0.5,2.4316666666666666
20,17.5,0.5,2.4316666666666666
20,10.0,0.5,1.1315
20,15.0,0.5,1.8010000000000002
20,7.5,0.5,0.9526666666666667
20,17.5,0.5,2.4316666666666666
20,7.5,1.0,0.5486666666666666
20,15.0,0.5,1.8010000000000002
20,17.5,1.0,1.454
20,10.0,1.0,0.674
20,7.5,3.0,0.519
20,7.5,3.0,0.519
20,5.0,1.0,0.44133333333333336
20,15.0,0.5,1.8010000000000002
20,2.5,1.0,0.7166666666666667
20,10.0,1.0,0.674
20,12.5,1.0,0.843
20,2.5,0.5,1.287
20,2.5,0.5,1.287
20,17.5,0.5,2.4316666666666666
20,7.5,0.5,0.9526666666666667
20,10.0,0.5,1.1315
20,17.5,1.0,1.454
20,7.5,1.0,0.5486666666666666
20,17.5,1.0,1.454
